Individual	longitude	latitude	species	Haplotype_available
5705	8.63	47.29	Niphargus_sp.	No
5706	8.85	47.38	Niphargus_tonywhitteni	No
5707	9.42	47.05	Niphargus_luchoffmanni	No
5708	8.42	47.27	Niphargus_rhenorhodanensis_Komplex	No
5709	8.87	47.30	Niphargus_fontanus	No
5710	8.65	47.30	Niphargus_luchoffmanni	No
5711	8.87	47.29	Niphargus_thienemanni	No
5712	8.69	47.28	Niphargus_tonywhitteni	No
5713	7.64	47.47	Niphargus_fontanus	No
5714	7.28	47.04	Niphargus_auerbachi	No
5715	7.28	47.04	Niphargus_arolaensis	No
5716	7.96	47.40	Niphargus_fontanus	No
5717	9.03	46.98	Niphargus_thienemanni	No
5718	7.51	46.94	Niphargus_sp.	No
5719	9.52	47.39	Niphargus_luchoffmanni	No
5720	7.88	47.52	Niphargus_fontanus	No
5721	7.86	47.52	Niphargus_fontanus	No
5722	8.58	47.48	Niphargus_fontanus	No
5723	7.74	47.39	Niphargus_fontanus	No
5724	7.92	47.53	Niphargus_fontanus	No
5725	8.58	47.48	Niphargus_auerbachi	No
5726	7.73	47.39	Niphargus_sp.	No
5727	8.87	47.30	Niphargus_tonywhitteni	No
5728	8.87	47.30	Niphargus_fontanus	No
5729	8.42	47.50	Niphargus_fontanus	No
5730	7.47	47.17	Niphargus_sp.	No
5731	7.81	47.24	Niphargus_tonywhitteni	No
5732	8.42	47.27	Niphargus_rhenorhodanensis_Komplex	No
5733	8.42	47.27	Niphargus_rhenorhodanensis_Komplex	No
5734	8.38	47.52	Niphargus_fontanus	No
5735	8.43	47.42	Niphargus_fontanus	No
5736	7.79	47.43	Niphargus_tonywhitteni	No
5737	7.28	47.04	Niphargus_sp.	No
5738	7.80	47.43	Niphargus_puteanus	No
5739	7.80	47.43	Niphargus_tonywhitteni	No
5740	8.65	47.30	Niphargus_luchoffmanni	No
5741	8.65	47.30	Niphargus_luchoffmanni	No
5742	7.28	47.04	Niphargus_sp.	No
5743	7.28	47.04	Niphargus_sp.	No
5744	7.28	47.04	Niphargus_arolaensis	No
5745	8.01	47.31	Niphargus_thienemanni	No
5746	7.96	47.16	Niphargus_fontanus	No
5747	8.67	47.29	Niphargus_luchoffmanni	No
5748	8.60	46.16	Niphargus_sp.	No
5749	8.69	47.28	Niphargus_luchoffmanni	No
5750	8.67	47.29	Niphargus_luchoffmanni	No
5751	7.69	46.77	Niphargus_luchoffmanni	No
5752	7.73	47.39	Niphargus_tonywhitteni	No
5753	7.68	46.77	Niphargus_luchoffmanni	No
5754	7.73	47.39	Niphargus_fontanus	No
5755	7.74	47.39	Niphargus_kieferi	No
5756	7.74	47.39	Niphargus_tonywhitteni	No
5757	7.28	47.04	Niphargus_sp.	No
5758	8.74	47.43	Niphargus_tonywhitteni	No
5759	8.00	47.31	Niphargus_arolaensis	No
5760	8.01	47.31	Niphargus_thienemanni	No
5761	9.41	47.27	Niphargus_luchoffmanni	No
5762	9.41	47.27	Niphargus_sp.	No
5763	9.42	47.31	Niphargus_luchoffmanni	No
5764	9.41	47.27	Niphargus_sp.	No
5765	9.48	47.32	Niphargus_sp.	No
5766	9.49	47.31	Niphargus_luchoffmanni	No
5767	9.47	47.31	Niphargus_luchoffmanni	No
5768	7.56	46.63	Niphargus_luchoffmanni	No
5769	7.53	46.64	Niphargus_luchoffmanni	No
5770	8.83	47.44	Niphargus_auerbachi	No
5771	8.86	47.37	Niphargus_tonywhitteni	No
5772	10.2	46.64	Niphargus_sp.	No
5773	6.82	46.96	Niphargus_rhenorhodanensis_Komplex	No
5774	6.82	46.96	Niphargus_rhenorhodanensis_Komplex	No
5775	7.01	47.48	Niphargus_rhenorhodanensis_Komplex	No
5776	6.30	46.69	Niphargus_virei	No
5777	6.98	46.43	Niphargus_sp.	No
5778	7.28	46.31	Niphargus_sp.	No
5779	7.27	46.37	Niphargus_cf._styx	No
5785	8.78	46.97	Niphargus_sp.	No
5790	8.84	46.99	Niphargus_styx	No
5791	7.69	47.55	Niphargus_puteanus	No
5792	6.31	46.53	Niphargus_rhenorhodanensis_Komplex	No
5797	8.34	46.77	Niphargus_thienemanni	No
5803	8.86	47.38	NA	No
5804	8.86	47.38	NA	No
5805	8.86	47.38	NA	No
5806	8.86	47.38	NA	No
5807	8.86	47.38	NA	No
5925	7.32	47.02	NA	No
5926	7.32	47.02	NA	No
5927	7.32	47.02	NA	No
5928	7.32	47.02	NA	No
5929	7.32	47.02	NA	No
5930	7.32	47.03	NA	No
5931	7.32	47.03	NA	No
5932	7.32	47.03	NA	No
5933	7.32	47.03	NA	No
5934	7.31	47.02	NA	No
5935	7.31	47.02	NA	No
5936	7.31	47.02	NA	No
5937	7.28	47.04	NA	No
5938	7.28	47.04	NA	No
5939	7.33	47.02	NA	No
5940	7.33	47.02	NA	No
5941	7.33	47.02	NA	No
5942	7.33	47.02	NA	No
5943	7.32	47.02	NA	No
5944	7.32	47.02	NA	No
5945	8.45	47.53	NA	No
5946	7.64	47.47	NA	No
5947	8.38	47.30	NA	No
5948	8.38	47.30	NA	No
5949	7.96	47.40	NA	No
5950	7.96	47.40	NA	No
5951	7.96	47.40	NA	No
5952	7.32	47.03	NA	No
5953	7.28	47.04	NA	No
5954	7.28	47.04	NA	No
5955	9.09	47.44	NA	No
5956	9.09	47.44	NA	No
5957	9.09	47.44	NA	No
5958	9.09	47.44	NA	No
5959	7.92	47.23	NA	No
5960	7.93	47.23	NA	No
5961	7.92	47.24	NA	No
5962	7.91	47.24	NA	No
5963	7.91	47.24	NA	No
5964	8.85	47.31	NA	No
5965	8.87	47.30	NA	No
5966	8.87	47.30	NA	No
5967	8.87	47.30	NA	No
5968	8.87	47.30	NA	No
5969	7.17	46.92	NA	No
5970	7.15	46.93	NA	No
5971	7.14	46.90	NA	No
5972	8.00	47.48	NA	No
5973	8.55	47.19	NA	No
5974	8.54	47.18	NA	No
5975	8.56	47.19	NA	No
5976	8.56	47.19	NA	No
5977	8.53	47.17	NA	No
5978	8.53	47.18	NA	No
5979	7.28	47.04	NA	No
5980	7.28	47.04	NA	No
5981	7.67	47.48	NA	No
5982	7.67	47.48	NA	No
5983	7.45	47.21	NA	No
5984	7.45	47.21	NA	No
5985	7.45	47.21	NA	No
5986	7.45	47.21	NA	No
5987	7.45	47.21	NA	No
5988	7.45	47.21	NA	No
5989	7.45	47.21	NA	No
5990	7.45	47.21	NA	No
5991	8.34	47.55	NA	No
5992	8.34	47.55	NA	No
5993	8.34	47.55	NA	No
5994	8.34	47.55	NA	No
5995	8.44	47.48	NA	No
5996	8.44	47.47	NA	No
5997	8.44	47.47	NA	No
5998	8.44	47.47	NA	No
5999	8.44	47.47	NA	No
6000	8.44	47.47	NA	No
6001	8.06	47.35	NA	No
6002	8.06	47.35	NA	No
6003	8.06	47.35	NA	No
6004	7.76	47.31	NA	No
6005	7.76	47.31	NA	No
6006	8.30	47.43	NA	No
6007	8.30	47.43	NA	No
6008	8.30	47.43	NA	No
6009	8.30	47.43	NA	No
6010	8.30	47.43	NA	No
6011	8.30	47.43	NA	No
6012	8.30	47.43	NA	No
6013	7.73	47.31	NA	No
6014	7.61	47.39	NA	No
6015	7.61	47.39	NA	No
6016	7.61	47.39	NA	No
6017	7.61	47.39	NA	No
6018	7.62	47.39	NA	No
6019	7.96	47.40	NA	No
6020	7.96	47.40	NA	No
6021	7.96	47.40	NA	No
6022	7.96	47.40	NA	No
6023	8.43	47.35	NA	No
6024	8.43	47.35	NA	No
6025	8.56	47.16	NA	No
6026	8.56	47.16	NA	No
6027	8.56	47.16	NA	No
6028	8.56	47.16	NA	No
6029	8.56	47.16	NA	No
6030	8.56	47.16	NA	No
6031	8.18	47.55	NA	No
6032	8.18	47.55	NA	No
6033	8.43	47.48	NA	No
6034	8.44	47.48	NA	No
6035	8.43	47.48	NA	No
6036	8.44	47.48	NA	No
6037	8.44	47.47	NA	No
6038	8.44	47.47	NA	No
6039	8.44	47.47	NA	No
6040	8.44	47.47	NA	No
